26907	39
11986	39
22748	26
26054	45
8093	0
25598	-1
26670	-1
19106	-1
27435	47
56563	47
47628	25
41246	48
23017	-1
19913	26
15922	14
1231	14
36479	35
51702	47
41877	21
26378	21
10082	33
55007	47
12351	39
21497	33
17432	17
2044	17
1117	19
2443	48
34438	6
4108	26
53848	37
5306	37
16340	16
26199	48
54781	17
59394	47
1363	33
15303	12
11387	33
6359	33
17711	37
35607	34
64161	6
18043	26
64094	26
17137	6
30140	6
17018	35
34075	30
18955	35
4758	42
59069	27
36864	49
51226	48
27672	48
18489	11
21884	11
552	48
32745	48
47034	33
16185	48
978	21
1295	21
17819	35
51811	49
54788	37
21090	26
20511	35
34049	35
17659	49
30146	35
3919	21
49276	5
17103	35
17700	35
50652	35
25041	35
20550	6
58605	6
20515	12
20528	40
20613	30
1516	33
39125	-1
3423	5
60597	33
6828	21
27014	27
13321	12
2703	12
15385	12
25257	35
30335	37
24001	34
52361	37
40008	37
38961	17
42827	5
64221	34
6645	17
3754	48
31975	48
12338	45
38939	33
3880	6
23956	17
64086	33
7414	17
57666	17
59308	5
30450	5
10749	48
25139	31
33721	47
3749	42
20034	48
5563	29
24263	17
40943	-1
54347	35
53650	35
4642	35
48918	1
24107	31
8635	48
7700	48
50761	47
16980	1
25391	48
15305	45
2373	1
17971	1
18015	17
14579	17
43301	3
22276	17
31628	1
19110	6
5596	21
46875	19
38341	26
2971	43
39920	48
5388	21
8470	21
22979	47
25876	47
25699	45
13405	12
26832	17
4126	31
27434	16
14034	48
8576	48
15571	49
31099	11
62838	37
54344	37
22228	-1
64084	37
39743	8
59172	35
14163	-1
31481	15
44310	-1
2605	37
51756	17
25759	33
59556	33
14886	1
41803	47
44928	47
30971	21
54940	48
42462	47
60775	47
15346	37
12945	34
63439	19
45832	19
6022	42
59715	0
6078	43
22179	38
2473	35
2250	35
4377	17
23008	49
29029	35
42753	33
48259	48
49876	42
39724	-1
50430	39
60831	26
4700	-1
64068	33
43787	35
20007	35
31710	22
271	5
47658	47
26202	6
10250	6
5350	-1
33430	17
10034	3
59031	3
13656	29
63771	42
18950	17
