[0.0013348991837350774, 0.0011953514414292108, 0.00084743395911989, -0.000388949666731699, 0.0015720514823968996, 0.001130786844768853, 0.001270126581495929, 0.0006381712544688517, 0.0012096643000021358, 0.001268474377870083, 0.004320788656304023, -0.0002379667116884336, 0.008260562835465798, -0.0005630721484538237, 0.007025976641595262, 0.0010053892939994359, -0.0006531123796749295, -0.0038474824348579367, -0.005491543586881282, 0.0013515859033606018, -0.00011322357622275514, 0.0006141929143644219, 0.001286233080291374, 0.003110757528552789, -0.001869397038412544, 0.00141792921345363, -6.593944674609592e-05, 0.0013069571246094335, 0.0005455497875044271, 0.0002623599321633752, 0.001393223412094093, 0.0012527836255235702, 0.0009903525011072634, 0.001984351458910656, -0.0011870140795883575, 0.0022074383132332466, 0.0013691690454859312, -0.00021924424022116807, -0.0005062884702390616, 0.0024665320613892795, -0.0014169981745195683, -0.0037804599372153907, 0.0023553192720804357, 0.0011878882623067117, 0.001004570565066518, 0.00015212190067493125, 0.0015869847671488631, 0.006031419322425277, -0.00046096628274180126, -0.0003960212428209059]	1432256410659
[0.0012667016099559762, 0.0010293071602955426, 0.0009759550410789171, -0.0004262892724534741, 0.0011191000036481769, 0.0008789603735122246, 0.0010122933339126467, 0.0005158252207744571, 0.0010616089951752, 0.001182913536773536, 0.00378230531428367, -0.00016768932370357976, 0.006980190358259546, -0.000510108132551095, 0.005912297253429152, 0.0007301233833054876, -0.0005392893427594538, -0.003260966631085319, -0.005223562065848233, 0.0011178864256879725, -1.2065278808112262e-05, 0.0005952615740069337, 0.0013498340648254818, 0.002984554370997453, -0.0016031233421751486, 0.0007894956109916792, -0.00015211192977138713, 0.0010171970226109394, 0.0006191628608377063, 3.1747580985848975e-05, 0.0007838243231268206, 0.0021877674396367673, 0.0003215569154858736, 0.0018255960850091727, -0.001088471771524978, 0.002128242381269952, 0.0011812643139923495, -0.00040465757890291947, 0.0002529184309251247, 0.0020832700886816782, -0.0010894592909246278, -0.003424037667677018, 0.0020473572891656876, 0.00019107603404746866, 0.0009664299884382963, 0.00016115144775420017, 0.0018277816126364122, 0.005701084089521044, -0.00018472674327917694, -0.0007636775816033026]	1432258453666
[0.002239530936394618, 0.0016716590374246884, 0.004156694148547788, -0.0006805632324716716, 0.003659146707348893, 0.0039726210236369335, 0.0020451829693431166, 0.006275282671793261, 0.00043302469225447527, 0.0010763580767904986, 0.035605812728390814, 0.0112765366835906, 0.036191329886957134, 0.006835548327337353, 0.04042928127123571, -0.00010656047018167385, 0.00864767651547941, 0.15209874594108258, -0.002221984121418255, 0.027734999023005392, -0.019087649426304528, -0.011351025027852258, -0.005765684988548287, -0.02342190561707896, -0.030579010748389736, -0.0006737202295904998, -0.005650473461234399, 0.008496679374807527, 0.0013020333915354026, 0.0025493541359034428, -0.006453683992689913, 0.0104493242555736, 0.009407008616290553, -0.005109766505862466, -0.0029671312887657652, -0.005403303995492239, -0.003112754956582685, -0.012183049530391659, -0.023571435075552923, 0.011051748803119928, -0.01573402678827798, 0.010316209346558258, 0.006125596712827192, -0.0027933940800949487, 0.03290448501291632, -0.000365522632677067, -0.019781783041211976, 0.01721363271750732, -0.011462468972404005, 0.013759033589647618]	1432260073659
[0.027814506082689115, 0.04273029735916426, 0.39018462481337207, -0.20132224812549288, -0.03888957293553828, 0.010032211799771401, -0.010157041881070857, 0.0037250872498005632, -0.00346575152448191, -0.0022635911510978696, 0.045629905759787225, 0.013814940831224438, 0.05200992914816547, 0.006653705994610923, 0.06085645822669301, -0.0029199839695572944, 0.011810216037218994, 0.23768317182692583, -0.004974814600980567, 0.04321387074713834, 0.006530802974252215, -0.04624467268432085, -0.017901150821678154, -0.04507327770641916, -0.0467229644077616, 0.0029550785775280643, -0.00851417858601984, 0.02159848038283714, 0.017092183905884493, 0.007382203615710162, 0.003807275539989114, 0.009486169104686125, -0.020236672916231425, 0.037161262316356476, -0.05494031191950027, 0.10983189517630196, -0.07042348999582644, 0.16652264088317564, -0.023197337083378726, -0.08289186734968161, 0.0249206574341419, 0.016888261351135615, -0.011232468809509585, -0.00225652394104728, -0.002867763456078305, 0.010325055941505358, -0.015979210318550676, -0.01931003425718639, 0.005700161484328902, 0.010251982197873585]	1432260852660
[0.0075846331138005605, 0.0028683251579069945, 0.007339516209583283, -0.0032617445907524153, 0.017465310774199563, 0.005465928943888846, 0.007244051390167533, 0.004370135744043776, 0.002002665928239996, 0.007587419816694574, 0.2733756941833585, -0.4341506352078687, -0.10279720030337323, -0.005324693776479975, -0.024613069428113095, -0.027415121977985398, 0.0010790250660479284, -0.009309002333934016, -0.026400812667474415, 0.0038289644715689443, -0.013182977270314901, -0.034238306007544406, -0.020631217246056065, -0.010355925869946126, -0.0017051020916194785, -0.003925598705111653, 0.0021648971791122214, -0.0029374661195791137, -0.0027911218267102265, -0.004429612441439538, -0.004137854198623979, -0.004094723971891142, -0.0062756966247401345, -0.004547490031123521, 0.00296533167973302, -0.007618480017886687, 0.0039682118100293415, -0.006916995586864743, 0.0021435005324040245, 0.002081244661212416, -0.0006867912185203383, 0.0029241188937631007, -0.0032870899718448455, 0.0031914413861005952, -4.757372630795827e-07, -0.0012138327279413458, 0.002561312829069675, -0.0004767717726120261, -0.0021569110956763957, 0.0025139096664618435]	1432287218658
[0.0012158373617786621, 0.002144413894032113, 0.0016506250448369588, -0.0004415560051155114, 0.003428364656786729, 0.0030677057822833887, 0.00048599001066665674, 0.0004824835769561446, 0.00019736910000219405, 0.0005926920251299709, 0.003720100374802739, -0.0003797403764465711, 0.0033940092367301697, 0.00034977486414876217, 0.0024272234410957503, 0.00036400922749172965, 0.00020183880149240963, 0.00039754343307130444, 3.813931728413979e-05, -0.0006385553737992519, 0.0006883279464982154, 0.0038745498134852637, 0.0023817023851254765, 0.0048475987625457, 0.0005035418043636881, 0.0013980807606706997, 0.0004844042309682968, 0.002936114562838644, 0.00026421893112300935, 0.0001248745467434015, 0.000922448841895493, 0.00023032355624746375, -0.0010887860093345798, 0.0024692464012459046, -0.001076134963939722, 0.002346395367964152, 0.004510144385201738, 0.0007113825892450918, 0.005405579918087583, 0.002409039154179324, 0.0006920164813276679, -0.007369472523781361, 0.0023528666684488613, 0.0014193982537235527, 0.0013561207488448285, 0.0024309313488514207, 0.0024289039757666125, 0.0037227548110281136, -0.004678288304257796, 0.0014421926157125366]	1432292393662
[0.00234673666398037, 0.003494313412671918, 0.003456163326967967, -0.0010651324906336271, 0.008827141827986745, 0.00765836972115379, -0.0010476106225831348, 0.0002852816003321832, 0.00013482735515057308, 0.005573191130645845, 0.002649204586198989, -0.0010846023154928194, 0.0030648666773699933, 0.0015733323568539745, 0.001400802205043269, 0.00028085739092609225, 0.0002840449398178499, 0.0017171766359730784, 0.0007541612218947329, -0.0009944698875119869, 0.0007801282970976356, 0.004739320466087603, 0.001355098736509169, 0.00578300076573749, 0.0018803826283492352, 0.0003912984572583444, -0.0016425828684904487, -0.00010625065588972439, -0.0013752818992605713, 0.00651760498207231, 0.0016006162400019905, -0.0012723281181284771, 0.004726415816299024, 0.0011480118195290883, -0.0017896227338242937, 0.00565047031716908, -0.00417615254968838, -0.004357709108224435, 0.001712593005723558, 0.004837698148117873, -0.002138385580663529, -0.007312630924645718, 0.009715436902947948, -0.004149190736255291, -0.0027734355222630946, 0.0041871301174172485, 0.0025258718451127704, -0.030923858296283864, -0.00436341586383149, -0.00011759986390076589]	1432300098661
[0.0026977096811742957, 0.0020283215962100956, 0.004693512613291043, -0.000716012756820886, 0.004558665274710114, 0.004736067477730158, 0.0025705803834933636, 0.007846483127568185, 0.0006412464620264012, 0.0015508564388088924, 0.04659648498814281, 0.014318524546739217, 0.04748506786241936, 0.006682244965448458, 0.05357128992522759, -0.0007473512794057084, 0.011730083777655501, 0.2134667370759582, -0.0014649643919611383, 0.037857623044486956, -0.02820484098812876, -0.016994704401293026, -0.0095660557354978, -0.038958829709660386, -0.046671691449887184, -0.0028685149664673675, -0.007591677619693476, 0.0085275218092696, 0.003004366963255877, 0.005108509822798121, -0.01113082036696732, 0.015195450055321013, 0.00488841106135064, -0.008921236845486211, 0.002133314918034056, -0.004472319841821506, -0.006607167204966795, -0.013370417374547033, -0.022715431692078493, 0.005981840958400054, -0.004017196372202769, 0.009349966504756363, 0.008787023852074562, -0.005329128925646409, 0.042817815893778755, -0.016186823108864573, -0.010101601038697783, 0.01886707943514309, -0.02600062392678536, 0.010923482726006274]	1432302037662
[0.004599817556657206, 0.004161733655247071, 0.004912300570748148, -0.00022774387462118638, 0.0068599324954891185, 0.008836414457974595, 0.020792510016456718, 0.0088402885841567, 0.00020047518012802787, 0.0040709713918857205, 0.03754160008856203, 0.009680937867657061, 0.019902193268728805, 0.0012998587820535006, 0.02064449341780757, 0.005373590457879411, 0.003023094264544992, 0.06145019938091155, 0.002320111353724971, -0.0037118445709176874, 0.0055058714344898355, -0.009073575533435683, 0.020697466085332634, 0.13968004441374973, 0.15988781833164462, 0.5604381372871381, -0.13063256131203124, -0.14902346943093367, -0.024572207666846507, 0.001587416191300225, -0.017494159949860588, -0.042713325737535356, 0.007835769824079568, -0.015651846048483357, 0.006935855802637408, -0.023391229603953595, -0.011355326297275455, 7.455155561836154e-05, -0.003957092071235871, -0.005773712297862339, -0.0001670541950956919, 0.006119915848576451, -0.007248582846696412, 0.005146706990262694, -4.831606980231083e-05, -0.006285296142632038, -0.0030671829834937924, -0.0009810068472499594, -0.0015993950640806392, 0.0018227153513903794]	1432302868665
[0.7008323223610239, -0.11817402785525859, -0.03615535028001751, 0.0021919259290327773, -0.020649634973415102, -0.007778717268169212, -0.0195163142945758, -0.00318984943958061, -0.004844591715731132, -0.0015291221839149381, -0.005775305562122011, 0.00648292895006065, -0.004415801381259227, -6.219350023893225e-05, 0.001529907247498445, -0.0016456400217808513, -0.00047352136882411873, -0.0023556813548789917, -0.0010725557954880068, 0.0011016970807447882, -0.0015702504860917027, -0.015176107847052176, 0.0005110736875729493, 0.0028475981522614593, 0.0021826107899115777, -0.005745129337771491, 0.007573570609839647, 0.005370928192498696, -0.00018567168392592847, 0.006304689386454646, 0.0034246193764774957, -0.008203400712677387, -0.001331962144625152, 0.007532888349949446, -0.004615307499865404, 0.013060766445302269, 0.02501942241763553, 0.0034230088137111197, -0.017674777341971756, 0.021504842982553108, 0.01044544260306003, -0.019176798174781944, -0.025302651721472363, -0.01638190447669523, 0.04200070895349006, 0.05495932402991868, 0.05189839935306072, -0.031094672565211007, 0.05210274626164112, 0.03686654000711478]	1432305097663
